,tag,content,sn,lang,length,length_encoded_utf8
90,para,ဤကြေညာစာတမ်းပါ အခွင့်အရေးနှင့်တကွ လွတ်လပ်ခွင့်များ ပျက်စီးရာပျက်စီးကြောင်းတို့ကိုရည်ရွယ်၍၊ နိုင်ငံ တစ်နိုင်ငံ အတွက် ဖြစ်စေ၊ လူတစ်စု အတွက်ဖြစ်စေ၊ လူတစ်ဦးတစ်ယောက် အတွက် ဖြစ်စေ ပါဝင် ဆောင်ရွက်ရန် အခွင့်ရှိသည်ဟု သော်လည်းကောင်း၊ ကိုယ်တိုင်ဆောင်ရွက်ရန် အခွင့်ရှိသည်ဟုသော်လည်းကောင်း အဓိပ္ပါယ် ပိုင်းခြားကောက်ယူခြင်း မရှိစေရ။,91,mya,317,909
0,title,ALIMA NUNG ALIR MEIMCHIR AJAK ATEMA KASA TEMETEN SANGDONG,1,njo,57,57
1,para,AJAK ATEMA AKHüMKET ASER OCHI,2,njo,29,30
2,para,(Dignity and Justice for all of us),3,njo,35,35
3,para,All human beings are born with equal and inalienable rights and fundamental freedoms.,4,njo,85,85
4,para,"The United Nations is committed to upholding, promoting and protecting the human rights of every individual. This commitment stems from the United Nations Charter, which reaffirms the faith of the peoples of the world in fundamental human rights and in the dignity and worth of the human person.",5,njo,295,295
5,para,"In the Universal Declaration of Human Rights, the United Nations has stated in clear and simple terms the rights which belong equally to every person.",6,njo,150,150
6,para,These rights belong to you.,7,njo,27,27
7,para,They are your rights. Familiarize yourself with them. Help to promote and defend them for yourself as well as for your fellow human beings,8,njo,138,138
8,para,Iba lima nung meimchir ajak kasa temeten aser senso ka nüji jenjang nungi mepilatetba akhümket tashi nung asor.,9,njo,111,113
9,para,"United Nations-i itemji senso shia atema wazüka yutsütsü, aser kümzüka ayutsü meranger. Ibai United Nations-i lateta ayuba aser telemtetba koba ajanga iba lima nung meimchir shia temeten aser akhümket jenjang kasa ayutsü nükjidong lir.",10,njo,235,244
10,para,United Nations-i meimchia temeten atema sangdongba nungji ajaki angatettsüsa o kanga tejangja agi itemji zülua lir.,11,njo,115,117
11,para,Item temetenji ne meyong lir.,12,njo,29,29
12,para,"Itemji ne temeten lir. Item denji metettebang. Itemji kümzüka ayutsü, na aser ne medemer ajak atema khümdanga yuang.",13,njo,116,120
13,para,1948 December Lokti Inti ajanga lemteter Sangdongba 217 A (III),14,njo,63,63
14,title,Okila,15,njo,5,5
15,para,"Kechiaseralima rangben nung nung nisung ka tim temeten aser kasa alitsüsa metentepa yutsübaji meimchir kibong ochi, nüji aser yimjung tamendakdak kimung lir,",16,njo,157,160
16,para,"Kechiaser mezüng meshitepba, aitsütepba, mashimalu mapa inyakba, meimchir tim tejembitsü mejembidaktsüba, aser pei tebilemba rakpoka meshidaktsüba item ya ajanga meimchir nüji tia raksatsür,",17,njo,190,197
17,para,"Kechiaserkodang anema apusoba aser oshi mashi rongsen benshirtemi nüburtem temeten aser nüji tia raksatsüdir, meimchir temeten ozüng ajanga itemji kümzüka ayutsüla,",18,njo,164,171
18,para,"Kechiaser kintem tsüngda yimjung yangluba ajanga alima terenlok adokdaktsür, ibaji mapang ajak nung nungittsüla,",19,njo,112,115
19,para,"Kechiaser United Nations Temzüng nung meimchir temeten aser nüjiba wazüka ayutsüba itemji lemteta alinung, tebur aser tetsür tsüngda tepila kecha malitsüla, saka ibai loktiliba tasen küma yanglushiba ajanga dang nüjibaji tongtettsü.",20,njo,232,242
20,para,"Kechiaser United Nations nung adener ajaki ibaji atalokdakja inyaktsü nangzüktepogo, aser meimchir ka temeten aser nüibaji kümzüka ayutsü mulunga renemogo.",21,njo,155,161
21,para,"Kechiaser iba tenangzükba takok ngudakja inyaktsübaji teinyaktsü tongtibangtiba ta ajaki anagtetogo,",22,njo,100,103
22,para,"Anungji, tang, Lokti Inti Sendeni Alima rangben nung Meimchir Temeten ya takok ngua lokti aser kin ajak nung inyaktsü Sangdonger, iba Sangdong ya maneni temulung nung yur li maser lim atena or, terenlok mapa shisatsü sayuba ajanga angazükdakja, pei litsü atena oa inyaktsü sangdonger.",23,njo,284,289
23,title,Ocet 1,24,njo,6,6
24,para,Meimchir ajak temeten aser tashi kasa nüji nung asor. Parnok dak bilemtettsü shisatsü aser tangatetba kasa agüja aliba jagi külem adianu rongnung tanela ka nung lungjema alitsüla.,25,njo,179,185
25,title,Ocet 2,26,njo,6,6
26,para,"Iba sangdong nung kechi temeten shilemsa ali, nisung sentsü balala, tetsür tebur, oshi,aser yamala ajak nung telemsa aser tebendang kecha melii nisung shia tim temeten kasa alitsü.",27,njo,180,183
27,para,"Talisa, kin tulu tila, limeka, aser arrtsü balala ajaklen nüjiso tsütsü telemsa kecha mali.",28,njo,91,95
28,title,Ocet 3,29,njo,6,6
29,para,"Nisung ajak sakusa alitsü, nüji, aser kümzüka alitsü temeten.",30,njo,61,66
30,title,Ocet 4,31,njo,6,6
31,para,"Nisung shinga alar mekümdaktsütsü mesüra alar tia nung mayutsü, yamala mapa ajak nungi nisung ajak kümzüka alitsü.",32,njo,114,122
32,title,Ocet 5,33,njo,6,6
33,para,"Nisung shinga memerenshidaktsütsü, msüra yamala talenba kübok mayutsü.",34,njo,70,75
34,title,Ocet 6,35,njo,6,6
35,para,Tesem ajaklen nisung ajak ozüng tsüngdang temeten kar.,36,njo,54,56
36,title,Ocet 7,37,njo,6,6
37,para,"Nisung ajak ozüng tsüngdang kasa temeten akaba dang masü, kasa ozüng jagi ajak sakusa kümzüka lir. Iba Telemtetba ya anema shingaia shinga anema meinyaktsüla, mesüra kati ka mezüngmeshi masütsüla.",38,njo,196,207
38,title,Ocet 8,39,njo,6,6
39,para,Ozüng ajanga temeten agüja akaba tashi kübok nisung shia ozüng amshir tsüngdang temzüngi melaba ama pei temeten ashitsü akok.,40,njo,125,132
40,title,Ocet 9,41,njo,6,6
41,para,"Tashiyim amshia shingaia shinga aputsü makok, mesüra bendang limai yoktsü makok.",42,njo,80,83
42,title,Ocet 10,43,njo,7,7
43,para,"Tim masüba maparen atema kari nisung ka temeten anema mesüra tejak ajia tim masüba mapa inyakra, ozüng meteter tsüngdang pei temeten rateta ashitsü melaa lir.",44,njo,158,164
44,title,Ocet 11,45,njo,7,7
45,para,"Ozüng anema aibelenogo ta shia nüburtem matsüngdang sangdongra,ozüng meteter kar teyari agia pei temeten indang rateta mashi tashi nisung shinga merenshitsü makok",46,njo,162,167
46,para,"Kin ka mesüra alima ajak kasa ozüng nung memeteti aibelenba mesüra meinyakba atema shinga merenshitsü makok. Mesüra yamala atema khen merenshir lira, iba dang temaba temerenshi agütsütsü makok.",47,njo,193,201
47,title,Ocet 12,48,njo,7,7
48,para,"Kija taküm, kibong mesüra kinunger kisüng atema, mesüra nisung pei kija atema kari tenüng menükdaktsütsü makok.Nisung ajak yamala mapa tamajung anema kümzüktsü iba ozüng dak tashi lir.",49,njo,184,196
49,title,Ocet 13,50,njo,7,7
50,para,Nisung shia pei litsü aser artsü meküta senzütsü temeten kar.,51,njo,61,66
51,para,"Nisung shia pei linük toktsür bendang limai aotsü, aser pei meyong bushia arutsü temeten kar.",52,njo,93,97
52,title,Ocet 14,53,njo,7,7
53,para,Rishikangshi nungi jembutsü atema bendang lima jenoka alitsü nisung ajak temeten kar.,54,njo,85,87
54,para,Iba tashiji rishikangshiba mesüra kin ka anema inyakba melira United Nations telemtetba anema amshitsü makok.,55,njo,109,111
55,title,Ocet 15,56,njo,7,7
56,para,Nisung shia kin ka senso asütsü temeten kar.,57,njo,44,46
57,para,"Nisung ka kin ka sensoji shingaia noktangtsü makok, mesüra senso melentsü atema tenokdangba kecha malitsüla.",58,njo,108,112
58,title,Ocet 16,59,njo,7,7
59,para,"Teintet tetsür aser teburtem atema kibong akümtsü tenokdangba kecha makai, tamangba yimsü süaka, sentsü balala süaka tebendang makai kibong küma alitsü. Parnokji temeten kasa kibong akümtsü aser pilatsü akok.",60,njo,208,220
60,para,Temulunger tsüngda tenokdangba kecha makai parnok kibong akümtsüla.,61,njo,67,70
61,para,"Kibongji lokti nung mezüngbuba tentetbaji lir, anungji ibaipei kini kümzüka ayutsüla.",62,njo,85,89
62,title,Ocet 17,63,njo,7,7
63,para,"Rongsen madak kija dak tashi alitsü, aser ano lokti dena kasa lemsateptsü temeten alitsü.",64,njo,89,92
64,para,Pi rongsen madak shingaia tashiyim agi teka amuoktsü makok.,65,njo,59,60
65,title,Ocet 18,66,njo,7,7
66,para,"Tamangba yimsü atema nisung shia pei pei amangnüba yimsü dak amangtsü, mesüra melenshia amangtsü akok, ibai lokti nung mesüra kija taküm nung pei jurila temeten kübok amangtsü aser külemtsü akok.",67,njo,195,207
67,title,Ocet 19,68,njo,7,7
68,para,"Nisung shia kechi jembinür tenokdangba kecha makai jembitsü akok. Idaki tebilemba mejangjungtepi lemsateptsü, osangtem agizüktsü aser agütsütsü tashi alitsü.",69,njo,157,166
69,title,Ocet 20,70,njo,7,7
70,para,Nisung ajak lokti senden mesüra mungdang nung tenokdangba makai adentsü.,71,njo,72,74
71,para,Tashiyim agi shingaia telok ka nung züngsem kümdaktsütsü makok.,72,njo,63,67
72,title,Ocet 21,73,njo,7,7
73,para,Pei lima sorkar mapa nung pei sasa mesüra lokti kar tenüng nung inyaktsü nisung ajak kasa tim shilem kar.,74,njo,105,108
74,para,Pei lima public mapa ajak nung inyaktsü nisung ajak temeten kar.,75,njo,64,65
75,para,Nüburtemi mulungtetbaji government bangdak asütsü. Ibaji indangindanga shimba mesüra nüburtemi meyongnem ajanga shimtetbaji alitsü.,76,njo,131,137
76,title,Ocet 22,77,njo,7,7
77,para,"Nisung shia pei state nung rongsenketsüng, loktiliba aser sobaliba kümzüka alitsü atema pei litsü nung aser pei litsü atena or aliba lokti ajak nung kija nüjiso tentet ajak den kasa temeten alitsü.",78,njo,197,205
78,title,Ocet 23,79,njo,7,7
79,para,"Nisung ajak pei mulungba ama mapa inyaktsü, aser mapa makartem nem tapet mapa agütsütsü atema wazüka ayutsü.",80,njo,108,114
80,para,Kasa mapa inyakba atema tah nung kecha telemdang makai kasa agütsütsüla.,81,njo,72,75
81,para,"Nisung shia pei sasa aahzüka ayuba nungi pei taküm aser kibong atema tim tangutsü aliba ajak angutsüla, nüngdaakra itemji loktiliba temzüng ozüng kübok wazüka ayutsüla.",82,njo,168,178
82,para,Pei sasa mulungtetba kümzüka ayutsü atema mapa inyaker lokti tentet nung nisung ajak adentsü akok.,83,njo,98,102
83,title,Ocet 24,84,njo,7,7
84,para,"Nisung shia pei tenzükba mapa nungi anizüngsük agitsü, mesüra mapa nungi sodi mapang telemtet kaa agitsü akok, saka aahzüka aliba nungi itasen agütsütsüla.",85,njo,155,165
85,title,Ocet 25,86,njo,7,7
86,para,"Nisung shia pei taküm aser kibong nung alirtem temang atema mozü, aben süoshi, chiyungtsü peria akatsü temeten kar, itemji lokti tentet latet kübok, mapa mangurtem, shirang timtem, matamabensartem, amitsür, aser tain akümer atema wazüka aser peria agütsütsü aser angutsü temeten kar.",87,njo,283,296
87,para,Tanur asor tetsü aser tila tanurtem balaka anebalutsü temeten kar. Kibong kümer asoba süaka kita chirtem süaka kasa temeten kar.,88,njo,128,133
88,title,Ocet 26,89,njo,7,7
89,para,Nisung ajak kaketshisatsü angazüktsü temeten kar. Class tila nung azüngtsü atemabo kaketshisatsüji angadi angazükdaktsütsüla. Pei tenüng zülu meteta kümdaktsütsübaji ozüngsa angazükdaktsütsüla. Technical mesüra temeba jenjang nung kaketshisatsü bushitsübaji ajak atema tajungtiba jenjang ajangzüka alirtem nungi tenzüka bushitsü akok.,90,njo,334,358
90,para,"Kaket shisatsü sayuba nükjidongji nisung ka pei tim tangazüktsü kechi ali, item ajakji peria angazükdaktsütsübaji lir. Ibai ajanga kin kidong, shilu balala, yimsü balala amangertem rongnung teputep aser yimjung adokdaktsütsü United Nations nükjidong lir.",91,njo,254,265
91,para,Pei chir nem koba lenmang nung tangazükba agütsütsü aji tsürabur atema tongtibang mapa lir.,92,njo,91,96
92,title,Ocet 27,93,njo,7,7
93,para,"Kin ka pei sobaliba dak sendakba maparen nung shilem agitsü, puyin ajanga alima terenlok bener arutsüba nungji nisung ajak temeten lir.",94,njo,135,137
94,para,"Pei sasa apiteta yangluba, züluba mesüra mejemba, koba nung kija tashi mekazüka kar, item atema tezülur temeten kar.",95,njo,116,120
95,title,Ocet 28,96,njo,7,7
96,para,"Iba telemtetba Sangdong nung kechi tashi aser temeten melaa ali, iba kübok sadoka alitsü nisung ajak kasa temeten kar.",97,njo,118,120
97,title,Ocet 29,98,njo,7,7
98,para,"Nisung shia pei aliba lokti terenlok atema teinyaktsü kar, kechiaser iba loktiji ajanga dang pei taküm renloktsü akok.",99,njo,118,121
99,para,"Pei temeten aser nüji yamaji liaka lokti teimbai mulungba nung nübur yimtenji aor asünung, iba lokti tentet yimsüyimbongi melaba ama item temeten wazüka aser akhümtsübua alitsüla.",100,njo,179,187
100,para,Item temeten aser nüji ya United Nations ajanga lateta aliba den mesütepi meinyaktsüla.,101,njo,87,90
101,title,Ocet 30,102,njo,7,7
102,para,"Iba Sangdong ya State mesüra, lokti, mesüra kija shingaia pei ajung asaa meratettsüla, kechiaser iba Sangdong ya ajak atema kasa temeten aser nüji asoshi nükla tajung yur lateta ayuba lir.",103,njo,188,193
0,title,Leitung gambup vannuai Mihingte’ Thuneihnate Tangkokhiatna,1,ctd,58,60
1,title,Thumapi,2,ctd,7,7
2,para,"Leitung mihing innkuan khempeuh in pianpih thupitna leh liangko kikim a thuneihnate aneih uh ciaptehsakna in mi khempeuh ii suahtakna, diktatna leh leitung ah kilemna ii abulpi ahihmah bang in,",3,ctd,193,193
3,para,"Mihing thuneihnate thulimsim saklo-in simmawhbawl sakna hangin mite lungsimtawng sukha in thangpaihna tawh ngongtatna piangsak ahih manin, suakta takin thu gentheihna ding, upna leh kimuanna neih theih nading, lauthawnna leh giautauna omlo a nuntak theihna apiangsak leitung khat hong suah zawh nading in mikim ii lunggulh pen hi ci-in kipulak khiata ahihmah bang in,",4,ctd,367,367
4,para,"Mi khatpeuh in bangmah thukhuallo a, gitlohna leh zawhthawhbawlna tawh ki-ukna a deihloh manin atawpkhakna ah thauvui thautang tawh lehdona apian loh nading in upadi khutletna tawh hut zawh ding akisam ahihmah bang in,",5,ctd,218,218
5,para,"Gam khat leh khat kilawmtatna leh ki-itna khantoh semsem nading akisam ahihmah bang in,",6,ctd,87,87
6,para,"Leitung gambup Kipawlna ah a lut mipite in mihingte’ thuneihna abulpite ahizong in, mihingte thupitna leh manphatna ahizong in, pasal leh numei liangko kikim a thuneihna thupi lak in Kithukimnalai sungah akipsak khit ban-ah tangpi nuntakna manawt zawh nading leh suakta zawtham a nuntakzia khaisan zawh nading thupi kisa ahihmah bang in,",7,ctd,337,339
7,para,"Leitung Kipawlna gamte in Leitung gambup Kipawlna tawh mapang khawm in leitung gambup vannuai mihingte thuneihna leh suahtakna bulphuh kawm in lapsang zawh nading thupi lak-in sepzawh nading kiciamsa ciat ahihmah bang in,",8,ctd,221,221
8,para,"Hih kiciamna tangtunsak zawh nading in hih thuneihna leh suahtakna teltheih leh laksiam ciatna in athupi pen ahihman in,",9,ctd,120,120
9,para,Tu in,10,ctd,5,5
10,para,Leitung Kipawlna Khawmpi in,11,ctd,27,27
11,para,hih,12,ctd,3,3
12,para,Khuavannuai Mihingte Thuneihna,13,ctd,30,30
13,para,Tangkona ah,14,ctd,11,11
14,para,"mikhempeuh in kipawlna kim in lungsimtawng ciat-ah guang in leitung gam khempeuh ah tua thuneihna leh suahtaknate thupilak zahtak tekin, thu kihilhsawnna tawh hanciam ciatni cih ahizong in, leitungbup a kipawl gamte ah amau gam ciat ah a uk thuneite i ukna gamsungah om tangpi tangtate kiangah tua thute a tangzaitak leh lawhcing takin sangin zuihciat nading in hanciam ciatni ci-in deihsakna tawh akipawl gam khempeuh tungah hih khuavannuai thu tangkona pen gamkip leh mikim in akibanga zatciat theih nadingin tu-in hong tangko khia ahi hi.",15,ctd,541,541
15,title,Thu 1,16,ctd,5,5
16,para,Mihingte khempeuh in thupitak leh thuneihna tawh suakta tak leh akibang in kipiang ciat ahi hi. Asia leh apha khentel thei thungaihsutna nei ciat uh ahihman in khat leh khat sanggam unau lungsim tawh kithuah khop ding hi.,17,ctd,221,221
17,title,Thu 2,18,ctd,5,5
18,para,"Mikim in Mihingte thuneihna leh suahtakna ah hih Thupulakkhiatna sung ah a om bangin thunei thei kim ciat hi. Minam hang, ci leh sa hang, numei pasal hang, kampau hang, biakna hang, gam ki-ukna thu paizia leh lungsim puakzia hang, gam mi ahihkeileh pianna puahna hang, neih leh lam hang, beh leh phung hang leh adang nuntakzia hang ahizong in kideidanna om sak loh ding hi.",19,ctd,373,373
19,para,"Tuaban-ah agam uh ki-ukna dan hang, thukhenzia hang, leitung gamte lak ah aniam asanna bulphuhna hang, a gam uh in ukna aana neihna ah asuakta gam hihna hang, midangte ukna hang, amau leh amau ki-uk khalo gam hihna hangin ahihkeileh adang paulam in kideidanna om sak lo ding hi.",20,ctd,278,278
20,title,Thu 3,21,ctd,5,5
21,para,"Mikim in nuntak na ah, zalen suahtakna leh bittak in lungmuan theihna ding nei thei ciat hi.",22,ctd,92,92
22,title,Thu 4,23,ctd,5,5
23,para,"Akuamahpeuh sila saltang ahihkeileh sawltak ding in omsak lo-in, sal leh sal kizuakna namkimte kikham hi.",24,ctd,105,105
24,title,Thu 5,25,ctd,5,5
25,para,"Akuamahpeuh bawlsiatna leh khelbawl a, mihing dan ahilo vangkiamsak zah dong a kibawlna leh dan kipiaknate kizanglo hi.",26,ctd,119,119
26,title,Thu 6,27,ctd,5,5
27,para,Mikim in upadi vai khempeuh ah mihing khat hihna bang a theihpihna nei ciat hi.,28,ctd,79,79
28,title,Thu 7,29,ctd,5,5
29,para,"Mikhempeuh in upadi vai ah akikim ban uah, upadi in huamkim in hutna ah kideidan selo ding hi. Hih tangko thukimna sungah a om thute deidan a palsatna leh deidan sak thei hasuannate a omloh nading in upadi in humbit ding hi.",30,ctd,224,224
30,title,Thu 8,31,ctd,5,5
31,para,Gam ki-ukna thubullet sung leh adang upadi khatpeuh sungah akikoihsa mikim thuneihna bulpite apalsatna hangin apiang supna baina athuakte in a gam sung uah aana nei thukhen zumpi in acingtak phatuam sakna pia ding hi.,32,ctd,217,217
32,title,Thu 9,33,ctd,5,5
33,para,Akuamahpeuh athu omlopi in kimat kihen mawkmawkna leh gamsung pan hawlkhiat thuak sak mawkmawk cih om theilo ding hi.,34,ctd,117,117
34,title,Thu 10,35,ctd,6,6
35,para,"Mikim in thuneihna, vaipuakte sepna leh khialhna hanga thubawlna a thuak khakna ah thu khensatna ding a kisap ciangin mimai enlo a, a diktat leh aana nei thukhen zum ah mipite mai-ah thusitna nei in thu kikhensat sak ding hi.",36,ctd,225,225
36,title,Thu 11,37,ctd,6,6
37,para,Mipi mai-ah upadi om bangin thu kisit in mawhtatak hi cih akiciat masiah amah leh amah kihut theihna akim in nei ahihman in akuamah peuh mawhneilo in kingaihsun phot ding hi,38,ctd,173,173
38,para,Mi khat peuh agam uh upadi leh leitung gamte upadi tawh ahizong in mawhsak huailo thu ahihkei nakleh thulimsim saklo a thukhensat sak mawkmawk cih om theilo ding hi. Amawh leh zong tua thu apian hun laitak a om zah danpiakna ding sang a kilawmlo leh a gikzaw in dan pialo ding hi.,39,ctd,280,280
39,title,Thu 12,40,ctd,6,6
40,para,"Akuamahpeuh ii aituam vai, a innkuanpih vai, a inn a lo vai leh laikhak kizopna vaite ah ut thu mawkmawk tawh a thu omlopi in kinawngkai sak loding hi. Ama minsiat puamsiat nading in zong kibuluh thei mawkmawk lo hi. Tua bang a kinawngkai sakna leh kibuluhnate upadi tawh kikhaam ding hi.",41,ctd,288,288
41,title,Thu 13,42,ctd,6,6
42,para,"Mikim in amau gamsung ah utna mun peuhpeuh ah lal thei, teeng thei hi.",43,ctd,70,70
43,para,"Mikim in ama gam leh gam khat pepeuh pan lal khia thei, a gam uh zuankik thei hi.",44,ctd,81,81
44,title,Thu 14,45,ctd,6,6
45,para,Mikim in genthei bawlsiatna a thuakkhak loh nading in gam dang khat peuhpeuh ah sutpom thei hi.,46,ctd,95,95
46,para,Gam-ukna vaihang tawh ahilo thu leh leitung gambup kipawlna i ngimna leh thubulphuhte palsatna tawh a piang thute ah atung a thuneihnate kizang khalo ding hi.,47,ctd,158,158
47,title,Thu 15,48,ctd,6,6
48,para,Mikhempeuh in gam khat teitei ii gammi khat suah theihna nei hi.,49,ctd,64,64
49,para,Akua peuhmah a gammi suahna leh a gammi suahna kheltheihna thu kinial theilo ding hi.,50,ctd,85,85
50,title,Thu 16,51,ctd,6,6
51,para,"Akum cingsa pasalte leh numeite in a minam hang, a gammi hihna hang, ahihkeileh biakna hang tawh ciangtan paulap zong selo-in kiteeng thei, inn leh lo suang thei hi Kitenna, kiten hun sung leh kikhen kibalna thu ah zong akikim in thuneihna nei uhi.",52,ctd,248,248
52,para,Kiten a sawm tegel ii utna leh lungkimna bek mah tawh kiteeng ding uhi.,53,ctd,71,71
53,para,"Innkuan in mihingte nuntak khuasakna ah abulpi pen hi a, a khua a tui leh kumpite ii hutna leh venna ngah ding hi.",54,ctd,114,114
54,title,Thu 17,55,ctd,6,6
55,para,Mikim in a mimal in ahizong in midangte tawh kipawl in ahizong in neih leh lam nei thei hi.,56,ctd,91,91
56,para,Kuama neihsa kisutkhia mawkmawk theilo hi.,57,ctd,42,42
57,title,Thu 18,58,ctd,6,6
58,para,"Mikim in suakta takin thu ngaihsun thei, lungngai thei, suaktatak a upna leh biakna nei thei hi. Hih thuneihna ah ama biakna, upna leh a suahtakna ah a ut bangbang in kheel thei hi Amah guak ahihkeileh veeng leh paam, innsak innnkhang tawh kipawl in mipi mai ah aituam in ama biakna leh upna bangin suakta tak in pulak thei, genkhia thei, hilh thei, zui thei, bia thei leh zang thei hi.",59,ctd,386,386
59,title,Thu 19,60,ctd,6,6
60,para,"Mikim in suakta takin lungsim geel a ngaihsutna leh thugen khiat theihna nei hi.Tua thuneihna sungah kuamah kinawngkaisak lo-in upmawh sansat theihna ah a gam a lei kikhen lo-in thu leh la, kan thei, sang thei, puaksawn thei hi.",61,ctd,228,228
61,title,Thu 20,62,ctd,6,6
62,para,Mikim in lungmuang suakta takin kituahkhawm thei leh kipawlkhawm thei hi.,63,ctd,73,73
63,para,Akuamah peuh kipawlna khat ah lut dingin hahtang in kisawl theilo hi.,64,ctd,69,69
64,title,Thu 21,65,ctd,6,6
65,para,Mikhempeuh in amau gam kumpi sungah tangtak in amah tektek in ahihkeileh zong ama teel taangmi khat peuhpeuh tung tawn in kizom thei hi.,66,ctd,136,136
66,para,Mikim in amau gam kumpina sepna ah akibang in lut theihna nei hi.,67,ctd,65,65
67,para,Mipi’ deihna in kumpite aana neihna abulpi hi. Tua mipi deihna pen ahun hun a kiteelna tatak tawh kilangsak ding hi. Kiteelna ah zong mikim in akilanglo in me pia sak ahihkeileh tua tawh akibang leh suakta lungkim tak in me pia ding hi.,68,ctd,236,238
68,title,Thu 22,69,ctd,6,6
69,para,"Mikim in khua leh tui khat a teen khopna sungah kihel ahihmah bangin khua leh tui humbit muanhuaina a neih khit banah a gam i hanciamna ahizong in, leitung gamte panpihna tawh ahizong in, a gam i neih leh lam leh kilamzia tawh kizawitawn in a ma vaang neihna leh gamtat luheek zia suaktatak in a khantoh nading in omloh pelmawh akisam ahi neihna, mipi omdan leh ngeina lam thuneihnate avek in zeek thei hi.",70,ctd,406,406
70,title,Thu 23,71,ctd,6,6
71,para,"Mikim in na sep ciat theihna, nasep ding deihteel theihna, akilawm akituak leh anopci nasepna mun ngahna leh nasep neilo ahih khakloh nading in humbitna nei hi.",72,ctd,160,160
72,para,Mikim in kideidanna omlo in akibang nasepna ah a thaman kikim ding hi.,73,ctd,70,70
73,para,Na a sem khempeuh in amah leh a innkuanpihte aading in mihing khat ii vangneihna tawh kituak in neek leh dawn a cingtakzo sak sep thaman a kilawm zah in a ngah theih ban-ah a kisamlaite ah zong mite panpihna ngah thei lai hi.,74,ctd,225,225
74,para,Mikim in ama ngah dingte a vaan ding in nasemte kipawl khopna neihna ah kihel in kizom ding hi,75,ctd,94,94
75,title,Thu 24,76,ctd,6,6
76,para,Mikim in a kilawm zah tawh kituak in a nai ciangtan zah nasep sep hun a neih theih ciat ban-ah a hun hun in khasum tawh awl hun leh tawlngak hun zong nei thei hi.,77,ctd,162,162
77,title,Thu 25,78,ctd,6,6
78,para,"Mikim in amah leh a innkuan pihte tawh cidam lungnuam a nuntak nopsak theih nading, annek tuidawn, silh leh teen, inn leh lo, zatui zaha tawh kikep nading leh khat leh khat kilunghimawhna tawh nuntak nuam khat ngah thei hi. Tua ban-ah ama’ ut thu a hilo in nasep a neih loh ciang, a cidam loh ciang, a hat nawnloh ciang, a meigon ciang, teek leh guai hun ciang ahihkeileh amah leh amah    akikepzawh nawnloh ciang, anneek tuidawn a giautau ciangin zong kitasam tuan hetlo in a lungmuan theih ding kul hi.",79,ctd,504,506
79,para,"Nauneih nupi hun leh naupangte in kep leh khoi akisap phat laitak hun in huh ding kisam phadiak hi. Ngeina bang a kiteen kigiahna pan ahizong in, kitenna omlopi in ahizong in a piang naupang khempeuh in mite’ don leh kepna ngah ding hi.",80,ctd,236,238
80,title,Thu 26,81,ctd,6,6
81,para,"Mikim in pilsinna nei thei ding hi. Pilsinna ah atawm pen in laisin ding patcilna leh abulpi lam-ah akhawnkhong in sin thei hi. Patcilna primary sang ciang peuhmah pello a mikim in pilna kisinsak ding hi. Siamsil sinna leh nuntak kivaakna ding pilsinna pen a ut peuh in sin in, a tansang lam pilsinna ahihleh apilna uh tawh kizui in sin thei kim ding hi.",82,ctd,354,354
82,para,"Pilsinna in mihingte omzia a huamkim in a khangtosak ahih ban-ah mihingte thuneihnate leh suahtakna bulpite thupilaak in thapiak sawn nading ahi hi. Pilsinna in gam khempeuh ah, minam phung leh tang ahihkeileh biakna pawlte ah khat leh khat kitheihsiamna, kithuak siamna leh ki-it kingaihna a piangsak hi ding hi.Tua ban-ah kilemna leh daihna a om tawntung zawh nading in leitung gambup kipawlna in a vaihawmna ah zong panpih thapiakna hiding hi.",83,ctd,446,446
83,para,Nu leh Pa te’n atate un bang pilsinna lam sinsak huai hiam cih a teelsak masa thei ahi uhi.,84,ctd,91,93
84,title,Thu 27,85,ctd,6,6
85,para,"Mikim in amau khua leh tui ciat ah a zat ngeinate ah nuamtak in bual in, lasak leh laamna ah nuamsa in, natethu pilsinna lam ah zong a mainawtna leh a hamphat lawhna teng a tangkha thei hiding hi.",86,ctd,196,196
86,para,"Mikim in natethu pilna pan hitaleh, lailam nasep pilna pan hitaleh, lasak leh laam siamna pan hitaleh, amah tektek ii pilna leh siamna tawh a sepkhiatna leh a matutpihna hangin min neihna leh met ngahnate tang thei hi.",87,ctd,218,218
87,title,Thu 28,88,ctd,6,6
88,para,Mikim in hih tangkona laipi sungah kihel thuneihna leh suahtaknate a tangtun sak nading in amau sung leh leitung dong in thupiak sawlna ah lawhcing sak ding hi.,89,ctd,160,160
89,title,Thu 29,90,ctd,6,6
90,para,Mikim in ama pianzia noptak leh a picing sak thei pen ahi ama omna khua leh tui tungah vaipuakna tavuan a nei hi.,91,ctd,113,113
91,para,"Ama thuneihna leh suahtakna thute a zat ciangin mikim in midangte thuneihna zong theihsak a, thukhualna tawh ahizong in, democracy nuntak paizia a zang khuasakna munte ah gamtat hoih nading, mipite paidan siamna leh phattuam nading a piangsak zo ahih nading in upadi tawh akiphalzah ciang bek zang ding hi.",92,ctd,306,306
